batter,season,runs,balls_faced,dots,fours,sixes,singles,outs,strike_rate,average
S Dhawan,2012,569,448,159,58,18,176,13,127.00892857142858,43.76923076923077
S Dhawan,2013,311,262,94,37,5,95,8,118.70229007633588,38.875
S Dhawan,2014,377,332,131,49,7,106,12,113.55421686746988,31.416666666666668
S Dhawan,2015,353,293,109,45,6,108,13,120.47781569965869,27.153846153846153
S Dhawan,2016,501,438,158,51,8,164,13,114.3835616438356,38.53846153846154
S Dhawan,2017,479,383,119,53,9,165,13,125.06527415143603,36.84615384615385
S Dhawan,2018,497,379,119,59,14,152,14,131.13456464379948,35.5
S Dhawan,2019,521,391,126,64,11,152,16,133.24808184143222,32.5625
S Dhawan,2020/21,618,433,112,67,13,196,14,142.72517321016167,44.142857142857146
S Dhawan,2021,587,480,169,63,16,193,15,122.29166666666667,39.13333333333333
S Dhawan,2022,460,395,129,47,12,151,12,116.45569620253164,38.333333333333336
S Dhawan,2023,373,275,102,49,12,79,10,135.63636363636365,37.3
S Dhawan,2024,152,125,48,18,4,42,5,121.6,30.4
S Dube,2019,40,33,12,1,3,16,4,121.21212121212122,10.0
S Dube,2020/21,129,109,42,5,9,41,7,118.34862385321101,18.428571428571427
S Dube,2021,230,205,71,18,10,82,8,112.19512195121952,28.75
S Dube,2022,289,194,58,22,16,71,9,148.96907216494844,32.111111111111114
S Dube,2023,418,277,74,12,35,120,11,150.90252707581226,38.0
S Dube,2024,396,259,78,28,28,91,11,152.8957528957529,36.0
S Dube,2025,357,289,93,22,21,121,11,123.52941176470588,32.45454545454545
S Dube,2026,270,189,54,24,15,64,7,142.85714285714286,38.57142857142857
S Gopal,2014,11,10,2,1,0,7,1,110.00000000000001,11.0
S Gopal,2015,1,1,0,0,0,1,0,100.0,inf
S Gopal,2016,2,16,14,0,0,2,1,12.5,2.0
S Gopal,2018,50,47,14,5,0,20,2,106.38297872340425,25.0
S Gopal,2019,63,46,15,8,1,17,4,136.95652173913044,15.75
S Gopal,2020/21,37,41,13,3,0,21,4,90.2439024390244,9.25
S Gopal,2021,7,5,3,0,1,1,1,140.0,7.0
S Gopal,2022,9,7,4,2,0,1,0,128.57142857142858,inf
S Kaul,2013,7,9,5,0,0,1,0,77.77777777777779,inf
S Kaul,2014,2,2,0,0,0,2,0,100.0,inf
S Kaul,2017,0,2,2,0,0,0,0,0.0,
S Kaul,2018,3,14,12,0,0,1,2,21.428571428571427,1.5
S Kaul,2019,0,1,1,0,0,0,1,0.0,0.0
S Kaul,2021,8,8,3,1,0,4,0,100.0,inf
S Kaushik,2016,0,1,1,0,0,0,1,0.0,0.0
S Ladda,2009/10,0,10,9,0,0,0,2,0.0,0.0
S Lamichhane,2019,0,1,1,0,0,0,1,0.0,0.0
S Nadeem,2011,0,1,1,0,0,0,1,0.0,0.0
S Nadeem,2012,0,2,2,0,0,0,2,0.0,0.0
S Nadeem,2013,14,27,19,1,0,4,5,51.85185185185185,2.8
S Nadeem,2014,7,20,12,0,0,7,2,35.0,3.5
S Nadeem,2015,2,7,5,0,0,2,1,28.57142857142857,2.0
S Nadeem,2016,1,5,3,0,0,1,0,20.0,inf
S Nadeem,2017,2,9,6,0,0,2,3,22.22222222222222,0.6666666666666666
S Nadeem,2018,6,8,2,0,0,6,0,75.0,inf
S Nadeem,2020/21,7,8,4,1,0,3,1,87.5,7.0
S Nadeem,2021,0,1,1,0,0,0,1,0.0,0.0
S Narwal,2009/10,14,13,5,2,0,4,3,107.6923076923077,4.666666666666667
S Narwal,2013,23,16,5,4,0,5,1,143.75,23.0
S Rana,2011,18,16,4,2,0,8,1,112.5,18.0
S Rana,2014,73,66,26,7,1,21,4,110.6060606060606,18.25
S Randiv,2011,2,4,3,0,0,0,1,50.0,2.0
S Sohal,2007/08,4,8,5,0,0,2,2,50.0,2.0
S Sohal,2009,115,102,49,9,8,19,7,112.74509803921569,16.428571428571427
S Sohal,2011,249,201,76,25,10,61,9,123.88059701492537,27.666666666666668
S Sreesanth,2007/08,0,3,2,0,0,0,1,0.0,0.0
S Sreesanth,2009,5,19,15,1,0,1,0,26.31578947368421,inf
S Sreesanth,2009/10,27,22,10,5,0,3,0,122.72727272727273,inf
S Sreesanth,2011,1,9,7,0,0,1,1,11.11111111111111,1.0
S Sreesanth,2013,1,4,2,0,0,1,1,25.0,1.0
S Sriram,2009/10,27,31,11,3,0,13,1,87.09677419354838,27.0
S Sriram,2011,4,7,4,0,0,2,1,57.14285714285714,4.0
S Tyagi,2009/10,3,4,1,0,0,3,0,75.0,inf
S Vidyut,2007/08,145,115,48,21,3,30,8,126.08695652173914,18.125
SA Abbott,2015,15,13,6,1,1,3,1,115.38461538461537,15.0
SA Abbott,2022,7,5,3,0,1,1,1,140.0,7.0
SA Asnodkar,2007/08,311,241,81,43,6,79,9,129.04564315352698,34.55555555555556
SA Asnodkar,2009,98,98,52,11,4,22,8,100.0,12.25
SA Asnodkar,2009/10,5,4,2,1,0,1,1,125.0,5.0
SA Asnodkar,2011,9,9,4,1,0,3,1,100.0,9.0
SA Yadav,2012,0,4,4,0,0,0,1,0.0,0.0
SA Yadav,2014,164,123,34,16,5,40,6,133.33333333333331,27.333333333333332
SA Yadav,2015,157,115,38,12,8,45,9,136.52173913043478,17.444444444444443
SA Yadav,2016,182,148,47,18,5,64,7,122.97297297297298,26.0
SA Yadav,2017,105,89,25,8,3,47,6,117.97752808988764,17.5
SA Yadav,2018,512,391,151,61,16,130,14,130.9462915601023,36.57142857142857
SA Yadav,2019,424,327,101,45,10,145,14,129.66360856269114,30.285714285714285
SA Yadav,2020/21,480,340,106,61,11,131,9,141.1764705882353,53.333333333333336
SA Yadav,2021,317,226,77,40,10,84,14,140.26548672566372,22.642857142857142
SA Yadav,2022,303,210,65,23,16,82,8,144.28571428571428,37.875
SA Yadav,2023,605,340,89,65,28,121,14,177.94117647058823,43.214285714285715
SA Yadav,2024,345,209,75,36,18,58,10,165.07177033492823,34.5
SA Yadav,2025,717,439,129,69,38,163,11,163.3257403189066,65.18181818181819
SA Yadav,2026,270,193,59,28,10,74,13,139.89637305699483,20.76923076923077
SB Bangar,2007/08,47,49,20,1,3,23,5,95.91836734693877,9.4
SB Bangar,2009,2,9,5,0,0,2,1,22.22222222222222,2.0
SB Dubey,2024,33,21,5,3,2,9,2,157.14285714285714,16.5
SB Dubey,2025,106,66,21,6,8,26,5,160.6060606060606,21.2
SB Dubey,2026,81,61,18,8,3,23,4,132.78688524590163,20.25
SB Jakati,2009,20,16,5,3,0,6,2,125.0,10.0
SB Jakati,2012,7,12,5,0,0,7,0,58.333333333333336,inf
SB Jakati,2016,1,2,1,0,0,1,0,50.0,inf
SB Joshi,2007/08,6,16,8,0,0,6,2,37.5,3.0
SB Styris,2007/08,112,124,47,9,2,58,6,90.32258064516128,18.666666666666668
SB Styris,2009,14,8,1,0,1,4,1,175.0,14.0
SB Styris,2011,5,2,0,1,0,1,0,250.0,inf
SB Wagh,2011,2,3,2,0,0,0,2,66.66666666666666,1.0
SC Ganguly,2007/08,349,324,142,33,15,95,14,107.71604938271604,24.928571428571427
SC Ganguly,2009,189,213,97,13,6,77,11,88.73239436619718,17.181818181818183
SC Ganguly,2009/10,493,440,183,58,15,131,13,112.04545454545453,37.92307692307692
SC Ganguly,2011,50,61,29,3,2,20,2,81.9672131147541,25.0
SC Ganguly,2012,268,288,116,30,4,104,14,93.05555555555556,19.142857142857142
SD Chitnis,2007/08,18,10,1,1,1,6,2,180.0,9.0
SD Chitnis,2009,6,9,5,1,0,2,1,66.66666666666666,6.0
SD Chitnis,2011,9,9,3,1,0,5,1,100.0,9.0
SD Chitnis,2012,66,64,25,7,1,24,3,103.125,22.0
SD Hope,2024,183,125,45,12,12,43,8,146.4,22.875
SD Lad,2019,15,13,8,1,1,2,1,115.38461538461537,15.0
SE Bond,2009/10,1,2,1,0,0,1,1,50.0,1.0
SE Marsh,2007/08,616,452,151,59,26,170,10,136.28318584070794,61.6
SE Marsh,2009/10,147,117,42,14,6,45,3,125.64102564102564,49.0
SE Marsh,2011,504,349,105,52,20,137,12,144.41260744985672,42.0
SE Marsh,2012,336,288,108,39,7,107,10,116.66666666666667,33.6
SE Marsh,2013,300,256,90,39,4,99,8,117.1875,37.5
SE Marsh,2014,70,54,22,7,3,12,2,129.62962962962962,35.0
SE Marsh,2015,93,65,21,10,3,20,6,143.07692307692307,15.5
SE Marsh,2016,159,134,41,13,4,62,6,118.65671641791045,26.5
SE Marsh,2017,264,198,67,36,5,72,8,133.33333333333331,33.0
SE Rutherford,2019,73,55,23,2,7,17,5,132.72727272727275,14.6
SE Rutherford,2022,33,52,24,1,1,21,2,63.46153846153846,16.5
SE Rutherford,2025,291,203,57,22,18,77,11,143.34975369458127,26.454545454545453
SE Rutherford,2026,123,83,28,5,12,25,5,148.19277108433735,24.6
SH Johnson,2024,6,7,3,1,0,2,0,85.71428571428571,inf
SH Johnson,2025,2,4,2,0,0,2,0,50.0,inf
SH Johnson,2026,0,1,1,0,0,0,1,0.0,0.0
SJ Srivastava,2009/10,1,2,1,0,0,1,1,50.0,1.0
SJ Srivastava,2011,4,3,0,0,0,2,0,133.33333333333331,inf
SK Raina,2007/08,421,304,84,35,18,133,9,138.48684210526315,46.77777777777778
SK Raina,2009,434,318,105,37,21,118,15,136.47798742138363,28.933333333333334
SK Raina,2009/10,528,387,106,45,23,157,13,136.43410852713177,40.61538461538461
SK Raina,2011,438,335,107,36,17,137,14,130.7462686567164,31.285714285714285
SK Raina,2012,441,335,109,36,19,130,17,131.6417910447761,25.941176470588236
SK Raina,2013,548,370,88,50,18,167,12,148.1081081081081,45.666666666666664
SK Raina,2014,523,370,117,51,19,132,12,141.35135135135135,43.583333333333336
SK Raina,2015,374,319,118,31,16,113,15,117.24137931034481,24.933333333333334
SK Raina,2016,399,321,97,39,10,140,15,124.29906542056075,26.6
SK Raina,2017,442,310,72,42,13,150,11,142.5806451612903,40.18181818181818
SK Raina,2018,445,354,103,46,12,156,12,125.70621468926552,37.083333333333336
SK Raina,2019,383,321,115,45,9,133,16,119.31464174454828,23.9375
SK Raina,2021,160,133,55,13,9,42,7,120.30075187969925,22.857142857142858
SK Rasheed,2025,71,67,33,9,2,13,5,105.97014925373134,14.2
SK Trivedi,2007/08,5,12,7,0,0,5,1,41.66666666666667,5.0
SK Trivedi,2009,9,19,9,0,0,7,2,47.368421052631575,4.5
SK Trivedi,2009/10,20,15,8,3,1,2,3,133.33333333333331,6.666666666666667
SK Trivedi,2011,0,2,2,0,0,0,1,0.0,0.0
SK Trivedi,2012,5,6,3,0,0,1,0,83.33333333333334,inf
SK Trivedi,2013,3,7,5,0,0,1,1,42.857142857142854,3.0
SK Warne,2007/08,70,60,22,7,2,22,7,116.66666666666667,10.0
SK Warne,2009,108,118,49,6,4,48,7,91.52542372881356,15.428571428571429
SK Warne,2009/10,10,21,11,0,0,6,3,47.61904761904761,3.3333333333333335
SK Warne,2011,10,20,13,1,0,6,2,50.0,5.0
SL Malinga,2009,0,1,1,0,0,0,1,0.0,0.0
SL Malinga,2009/10,1,1,0,0,0,1,0,100.0,inf
SL Malinga,2011,8,9,6,0,1,2,2,88.88888888888889,4.0
SL Malinga,2012,55,55,23,4,3,21,5,100.0,11.0
SL Malinga,2013,9,19,13,1,0,3,3,47.368421052631575,3.0
SL Malinga,2014,2,4,2,0,0,2,0,50.0,inf
SL Malinga,2015,6,11,6,1,0,2,0,54.54545454545454,inf
SL Malinga,2017,7,3,1,0,1,1,1,233.33333333333334,7.0
SM Curran,2019,95,55,21,13,3,11,4,172.72727272727272,23.75
SM Curran,2020/21,186,145,59,12,12,50,8,128.2758620689655,23.25
SM Curran,2021,56,30,6,5,3,12,3,186.66666666666666,18.666666666666668
SM Curran,2023,276,213,67,20,13,84,10,129.5774647887324,27.6
SM Curran,2024,270,230,65,24,6,100,11,117.3913043478261,24.545454545454547
SM Curran,2025,114,88,26,11,4,36,5,129.54545454545453,22.8
SM Harwood,2009,9,14,4,0,0,5,0,64.28571428571429,inf
SM Katich,2007/08,96,72,22,11,2,21,1,133.33333333333331,96.0
SM Katich,2009,145,119,51,15,6,35,9,121.84873949579831,16.11111111111111
SM Pollock,2007/08,147,116,40,12,8,47,8,126.72413793103448,18.375
SMSM Senanayake,2013,10,17,7,0,0,8,1,58.82352941176471,10.0
SN Khan,2015,111,72,15,12,2,33,6,154.16666666666669,18.5
SN Khan,2016,66,31,8,7,4,8,2,212.9032258064516,33.0
SN Khan,2018,51,43,16,7,1,13,5,118.6046511627907,10.2
SN Khan,2019,180,145,46,19,4,68,5,124.13793103448276,36.0
SN Khan,2020/21,33,30,11,5,0,11,2,110.00000000000001,16.5
SN Khan,2021,0,4,4,0,0,0,2,0.0,0.0
SN Khan,2022,91,69,19,9,2,29,3,131.8840579710145,30.333333333333332
SN Khan,2023,53,62,27,4,1,25,4,85.48387096774194,13.25
SN Khan,2026,161,100,34,23,6,25,7,161.0,23.0
SN Thakur,2015,7,6,2,1,0,3,0,116.66666666666667,inf
SN Thakur,2017,0,3,3,0,0,0,3,0.0,0.0
SN Thakur,2018,15,5,0,3,0,1,0,300.0,inf
SN Thakur,2019,14,7,2,1,1,2,1,200.0,14.0
SN Thakur,2020/21,12,21,10,0,0,10,1,57.14285714285714,12.0
SN Thakur,2021,5,6,2,0,0,2,1,83.33333333333334,5.0
SN Thakur,2022,120,90,29,7,7,36,8,133.33333333333331,15.0
SN Thakur,2023,113,72,20,13,4,27,8,156.94444444444443,14.125
SN Thakur,2024,21,18,7,2,1,7,1,116.66666666666667,21.0
SN Thakur,2025,18,15,5,3,0,2,3,120.0,6.0
SN Thakur,2026,24,33,12,2,0,14,2,72.72727272727273,12.0
SO Hetmyer,2019,90,76,31,4,7,30,5,118.42105263157893,18.0
SO Hetmyer,2020/21,185,127,41,11,12,47,8,145.6692913385827,23.125
SO Hetmyer,2021,242,153,33,19,12,58,6,158.16993464052288,40.333333333333336
SO Hetmyer,2022,314,221,68,21,21,75,7,142.0814479638009,44.857142857142854
SO Hetmyer,2023,299,205,62,12,23,77,9,145.85365853658536,33.22222222222222
SO Hetmyer,2024,113,72,19,9,7,29,5,156.94444444444443,22.6
SO Hetmyer,2025,245,182,50,18,11,69,13,134.6153846153846,18.846153846153847
SO Hetmyer,2026,78,74,28,5,3,24,6,105.40540540540539,13.0
SP Fleming,2007/08,196,171,74,27,3,42,9,114.61988304093566,21.77777777777778
SP Goswami,2007/08,82,86,41,9,1,28,3,95.34883720930233,27.333333333333332
SP Goswami,2009,53,64,30,6,0,20,2,82.8125,26.5
SP Goswami,2009/10,8,10,8,2,0,0,1,80.0,8.0
SP Goswami,2011,29,31,16,5,0,7,3,93.54838709677419,9.666666666666666
SP Goswami,2012,69,69,19,4,1,37,6,100.0,11.5
SP Goswami,2018,52,42,11,6,1,18,3,123.80952380952381,17.333333333333332
SP Goswami,2020/21,0,5,4,0,0,0,2,0.0,0.0
SP Jackson,2017,38,31,10,5,0,14,2,122.58064516129032,19.0
SP Jackson,2022,23,26,10,0,1,13,4,88.46153846153845,5.75
SP Narine,2012,9,8,4,2,0,1,1,112.5,9.0
SP Narine,2013,21,20,7,0,2,9,3,105.0,7.0
SP Narine,2014,10,15,4,0,0,8,1,66.66666666666666,10.0
SP Narine,2015,0,1,0,0,0,0,0,0.0,
SP Narine,2016,7,14,7,0,0,5,0,50.0,inf
SP Narine,2017,224,135,56,34,10,24,12,165.92592592592592,18.666666666666668
SP Narine,2018,357,198,72,40,23,40,16,180.3030303030303,22.3125
SP Narine,2019,143,90,41,17,9,10,7,158.88888888888889,20.428571428571427
SP Narine,2020/21,121,92,36,10,8,21,9,131.52173913043478,13.444444444444445
SP Narine,2021,62,51,17,3,5,14,8,121.56862745098039,7.75
SP Narine,2022,71,40,18,6,6,9,7,177.5,10.142857142857142
SP Narine,2023,21,28,14,2,1,7,7,75.0,3.0
SP Narine,2024,488,292,98,50,33,66,13,167.12328767123287,37.53846153846154
SP Narine,2025,246,160,63,25,19,26,11,153.75,22.363636363636363
SP Narine,2026,40,34,19,2,4,6,3,117.64705882352942,13.333333333333334
SPD Smith,2012,362,272,64,24,14,137,10,133.08823529411765,36.2
SPD Smith,2013,159,134,47,15,4,55,5,118.65671641791045,31.8
SPD Smith,2014,152,115,32,13,4,45,5,132.17391304347825,30.4
SPD Smith,2015,298,228,62,34,3,101,12,130.70175438596493,24.833333333333332
SPD Smith,2016,270,184,48,27,8,67,6,146.73913043478262,45.0
SPD Smith,2017,472,400,117,38,12,187,12,118.0,39.333333333333336
SPD Smith,2019,319,283,86,30,4,126,9,112.72084805653711,35.44444444444444
SPD Smith,2020/21,311,247,81,32,9,98,13,125.91093117408907,23.923076923076923
SPD Smith,2021,152,136,40,13,2,66,6,111.76470588235294,25.333333333333332
SR Dubey,2026,4,2,1,1,0,0,0,200.0,inf
SR Tendulkar,2007/08,188,189,79,26,2,56,6,99.47089947089947,31.333333333333332
SR Tendulkar,2009,364,315,117,39,10,117,11,115.55555555555554,33.09090909090909
SR Tendulkar,2009/10,618,489,149,86,3,178,13,126.38036809815951,47.53846153846154
SR Tendulkar,2011,553,511,173,67,5,189,15,108.21917808219179,36.86666666666667
SR Tendulkar,2012,324,297,111,39,4,106,12,109.09090909090908,27.0
SR Tendulkar,2013,287,243,96,39,5,75,14,118.10699588477367,20.5
SR Watson,2007/08,472,322,95,47,19,115,10,146.58385093167703,47.2
SR Watson,2009/10,185,117,37,18,9,39,5,158.1196581196581,37.0
SR Watson,2011,330,256,114,31,17,75,10,128.90625,33.0
SR Watson,2012,255,171,65,26,14,55,6,149.12280701754386,42.5
SR Watson,2013,543,393,134,59,22,138,14,138.1679389312977,38.785714285714285
SR Watson,2014,246,205,97,20,14,51,12,120.0,20.5
SR Watson,2015,347,270,105,37,14,87,9,128.51851851851853,38.55555555555556
SR Watson,2016,179,135,60,14,12,45,13,132.5925925925926,13.76923076923077
SR Watson,2017,71,80,32,6,1,33,6,88.75,11.833333333333334
SR Watson,2018,555,368,130,44,35,128,13,150.81521739130434,42.69230769230769
SR Watson,2019,398,321,147,42,20,84,18,123.98753894080996,22.11111111111111
SR Watson,2020/21,299,254,113,33,13,83,10,117.71653543307086,29.9
SS Cottrell,2020/21,0,2,2,0,0,0,1,0.0,0.0
SS Iyer,2015,439,360,146,41,21,115,13,121.94444444444446,33.76923076923077
SS Iyer,2016,30,46,24,2,1,14,6,65.21739130434783,5.0
SS Iyer,2017,338,249,75,36,10,99,11,135.7429718875502,30.727272727272727
SS Iyer,2018,411,317,105,29,21,138,12,129.65299684542586,34.25
SS Iyer,2019,467,399,131,42,14,177,16,117.04260651629073,29.1875
SS Iyer,2020/21,519,433,134,40,16,196,16,119.86143187066975,32.4375
SS Iyer,2021,175,181,55,7,5,89,6,96.68508287292818,29.166666666666668
SS Iyer,2022,401,310,98,41,11,118,13,129.3548387096774,30.846153846153847
SS Iyer,2024,351,250,70,34,14,103,9,140.39999999999998,39.0
SS Iyer,2025,604,360,84,43,39,154,12,167.77777777777777,50.333333333333336
SS Iyer,2026,498,306,77,39,30,130,9,162.7450980392157,55.333333333333336
SS Mishra,2026,1,3,2,0,0,1,0,33.33333333333333,inf
SS Prabhudessai,2022,67,62,26,7,2,19,5,108.06451612903226,13.4
SS Prabhudessai,2023,35,32,12,1,2,7,3,109.375,11.666666666666666
SS Prabhudessai,2024,24,19,7,3,0,2,1,126.3157894736842,24.0
SS Shaikh,2009,6,7,4,1,0,2,0,85.71428571428571,inf
SS Tiwary,2007/08,26,20,8,3,1,8,2,130.0,13.0
SS Tiwary,2009,13,12,3,0,0,5,1,108.33333333333333,13.0
SS Tiwary,2009/10,419,319,90,29,18,140,13,131.34796238244516,32.23076923076923
SS Tiwary,2011,187,196,75,13,5,79,8,95.40816326530613,23.375
SS Tiwary,2012,191,173,58,9,8,79,9,110.40462427745665,21.22222222222222
SS Tiwary,2013,109,113,39,4,4,47,4,96.46017699115043,27.25
SS Tiwary,2015,109,83,22,9,5,32,0,131.32530120481925,inf
SS Tiwary,2016,170,149,51,17,4,58,6,114.09395973154362,28.333333333333332
SS Tiwary,2017,52,46,16,9,0,16,0,113.04347826086956,inf
SS Tiwary,2020/21,103,81,24,8,3,37,5,127.16049382716051,20.6
SS Tiwary,2021,115,99,27,10,2,53,2,116.16161616161615,57.5
ST Jayasuriya,2007/08,514,333,127,57,31,69,13,154.35435435435437,39.53846153846154
ST Jayasuriya,2009,221,205,93,23,7,51,12,107.8048780487805,18.416666666666668
ST Jayasuriya,2009/10,33,35,16,4,1,8,4,94.28571428571428,8.25
STR Binny,2009/10,8,5,1,1,0,2,1,160.0,8.0
STR Binny,2011,37,31,10,2,1,14,1,119.35483870967742,37.0
STR Binny,2012,90,70,24,9,3,25,4,128.57142857142858,22.5
STR Binny,2013,293,204,60,25,12,78,8,143.62745098039215,36.625
STR Binny,2014,123,122,48,4,5,48,9,100.81967213114753,13.666666666666666
STR Binny,2015,74,69,18,7,1,34,5,107.24637681159422,14.8
STR Binny,2016,63,41,14,5,4,11,4,153.65853658536585,15.75
STR Binny,2017,78,77,34,6,3,29,5,101.29870129870129,15.6
STR Binny,2018,44,39,16,2,2,14,4,112.82051282051282,11.0
STR Binny,2019,70,42,14,5,4,8,3,166.66666666666669,23.333333333333332
SU Parakh,2026,46,33,14,5,2,10,4,139.3939393939394,11.5
SV Samson,2013,206,179,65,19,5,78,8,115.08379888268156,25.75
SV Samson,2014,339,280,109,25,17,103,13,121.07142857142857,26.076923076923077
SV Samson,2015,204,166,62,16,8,57,10,122.89156626506023,20.4
SV Samson,2016,291,265,88,20,8,115,10,109.81132075471697,29.1
SV Samson,2017,386,275,92,32,19,103,14,140.36363636363635,27.571428571428573
SV Samson,2018,441,325,95,30,19,141,14,135.69230769230768,31.5
SV Samson,2019,342,238,61,28,13,99,10,143.69747899159663,34.2
SV Samson,2020/21,375,242,72,21,26,95,12,154.95867768595042,31.25
SV Samson,2021,484,372,105,45,17,158,12,130.10752688172042,40.333333333333336
SV Samson,2022,458,321,124,43,26,99,16,142.6791277258567,28.625
SV Samson,2023,362,240,79,25,24,92,12,150.83333333333334,30.166666666666668
SV Samson,2024,531,367,97,48,24,158,11,144.68664850136238,48.27272727272727
SV Samson,2025,285,205,69,27,13,84,9,139.02439024390242,31.666666666666668
SV Samson,2026,477,295,97,53,24,101,12,161.6949152542373,39.75
SW Billings,2016,88,66,15,4,4,26,4,133.33333333333331,22.0
SW Billings,2017,138,107,31,19,1,47,6,128.97196261682242,23.0
SW Billings,2018,108,78,27,8,5,26,8,138.46153846153845,13.5
SW Billings,2019,0,5,4,0,0,0,1,0.0,0.0
SW Billings,2022,169,143,52,9,10,53,7,118.18181818181819,24.142857142857142
SW Tait,2009/10,12,13,6,0,1,6,1,92.3076923076923,12.0
SW Tait,2011,10,10,3,1,0,6,1,100.0,10.0
SW Tait,2013,1,3,2,0,0,1,1,33.33333333333333,1.0
SZ Mulani,2024,1,1,0,0,0,1,0,100.0,inf
Sachin Baby,2013,3,7,4,0,0,1,1,42.857142857142854,3.0
Sachin Baby,2016,119,82,22,9,5,31,5,145.1219512195122,23.8
Sachin Baby,2017,15,17,7,2,0,5,3,88.23529411764706,5.0
Sachin Baby,2021,7,17,10,0,0,7,1,41.17647058823529,7.0
Sakib Hussain,2026,5,7,5,1,0,1,0,71.42857142857143,inf
Salil Arora,2026,35,25,5,2,2,10,1,140.0,35.0
Salman Butt,2007/08,193,172,70,30,2,47,7,112.20930232558139,27.571428571428573
Sameer Rizvi,2024,51,43,19,4,2,13,4,118.6046511627907,12.75
Sameer Rizvi,2025,121,83,26,11,7,33,3,145.78313253012047,40.333333333333336
Sameer Rizvi,2026,252,178,59,15,17,64,7,141.57303370786516,36.0
Sandeep Sharma,2013,0,1,1,0,0,0,0,0.0,
Sandeep Sharma,2014,2,5,2,0,0,2,0,40.0,inf
Sandeep Sharma,2015,9,14,8,1,0,5,1,64.28571428571429,9.0
Sandeep Sharma,2016,8,9,1,0,0,8,0,88.88888888888889,inf
Sandeep Sharma,2017,7,7,0,0,0,5,0,100.0,inf
Sandeep Sharma,2018,0,4,4,0,0,0,2,0.0,0.0
Sandeep Sharma,2019,6,4,0,1,0,2,0,150.0,inf
Sandeep Sharma,2020/21,12,15,7,1,0,6,2,80.0,6.0
Sandeep Sharma,2021,8,7,1,1,0,4,0,114.28571428571428,inf
Sandeep Sharma,2023,2,7,4,0,0,2,0,28.57142857142857,inf
Sandeep Sharma,2025,6,6,0,0,0,4,0,100.0,inf
Sanvir Singh,2023,11,9,5,1,1,1,1,122.22222222222223,11.0
Sanvir Singh,2024,14,13,2,1,0,8,1,107.6923076923077,14.0
Saurav Chauhan,2024,18,16,6,1,1,6,3,112.5,6.0
Sediqullah Atal,2025,22,16,5,0,2,6,1,137.5,22.0
Shahbaz Ahmed,2020/21,1,1,0,0,0,1,0,100.0,inf
Shahbaz Ahmed,2021,59,55,19,4,2,22,7,107.27272727272728,8.428571428571429
Shahbaz Ahmed,2022,219,197,63,14,9,72,8,111.16751269035532,27.375
Shahbaz Ahmed,2023,42,41,10,3,1,18,4,102.4390243902439,10.5
Shahbaz Ahmed,2024,215,173,51,7,13,79,10,124.27745664739885,21.5
Shahbaz Ahmed,2025,9,8,2,1,0,5,1,112.5,9.0
Shahbaz Ahmed,2026,58,41,12,4,3,20,0,141.46341463414635,inf
Shahid Afridi,2007/08,81,46,19,7,6,12,8,176.08695652173913,10.125
Shakib Al Hasan,2011,29,23,6,4,0,9,2,126.08695652173914,14.5
Shakib Al Hasan,2012,91,77,19,6,3,33,6,118.18181818181819,15.166666666666666
Shakib Al Hasan,2014,229,160,39,22,7,69,9,143.125,25.444444444444443
Shakib Al Hasan,2015,36,32,9,5,0,10,3,112.5,12.0
Shakib Al Hasan,2016,114,108,40,7,5,48,5,105.55555555555556,22.8
Shakib Al Hasan,2017,1,1,0,0,0,1,0,100.0,inf
Shakib Al Hasan,2018,239,203,72,26,5,81,9,117.73399014778325,26.555555555555557
Shakib Al Hasan,2019,9,11,2,0,0,7,1,81.81818181818183,9.0
Shakib Al Hasan,2021,47,50,14,3,1,29,5,94.0,9.4
Shashank Singh,2022,69,47,17,5,4,15,4,146.80851063829786,17.25
Shashank Singh,2024,354,225,55,28,21,94,7,157.33333333333331,50.57142857142857
Shashank Singh,2025,350,238,55,23,18,105,7,147.05882352941177,50.0
Shashank Singh,2026,132,78,15,11,8,30,6,169.23076923076923,22.0
Shivam Mavi,2018,13,15,7,1,0,5,3,86.66666666666667,4.333333333333333
Shivam Mavi,2020/21,10,14,7,1,0,4,2,71.42857142857143,5.0
Shivam Mavi,2021,25,21,11,2,2,5,2,119.04761904761905,12.5
Shivam Mavi,2022,3,8,4,0,0,3,2,37.5,1.5
Shivam Sharma,2014,5,3,1,1,0,1,1,166.66666666666669,5.0
Shivam Singh,2024,2,3,1,0,0,2,0,66.66666666666666,inf
Shivang Kumar,2026,53,50,19,6,1,17,6,106.0,8.833333333333334
Shoaib Ahmed,2009,1,6,5,0,0,1,2,16.666666666666664,0.5
Shoaib Akhtar,2007/08,2,8,5,0,0,2,1,25.0,2.0
Shoaib Malik,2007/08,52,49,13,5,0,24,4,106.12244897959184,13.0
Shubman Gill,2018,203,142,35,22,5,65,5,142.95774647887325,40.6
Shubman Gill,2019,296,242,74,21,10,112,9,122.31404958677685,32.888888888888886
Shubman Gill,2020/21,440,382,134,44,9,162,13,115.18324607329843,33.84615384615385
Shubman Gill,2021,478,415,160,50,12,152,17,115.18072289156626,28.11764705882353
Shubman Gill,2022,483,374,113,51,11,159,15,129.14438502673798,32.2
Shubman Gill,2023,890,582,144,85,33,244,16,152.9209621993127,55.625
Shubman Gill,2024,426,295,80,37,15,118,11,144.40677966101697,38.72727272727273
