batter,season,runs,balls_faced,dots,fours,sixes,singles,outs,strike_rate,average
R Tewatia,2024,188,139,41,24,5,46,8,135.25179856115108,23.5
R Tewatia,2025,99,63,17,6,7,23,6,157.14285714285714,16.5
R Tewatia,2026,190,143,45,20,8,52,7,132.86713286713288,27.142857142857142
R Vinay Kumar,2007/08,25,28,9,2,1,7,3,89.28571428571429,8.333333333333334
R Vinay Kumar,2009,47,44,19,4,1,13,4,106.81818181818181,11.75
R Vinay Kumar,2009/10,27,35,11,1,0,15,3,77.14285714285715,9.0
R Vinay Kumar,2011,50,48,16,4,1,24,6,104.16666666666667,8.333333333333334
R Vinay Kumar,2012,68,65,19,3,2,30,5,104.61538461538463,13.6
R Vinay Kumar,2013,70,44,14,6,3,12,1,159.0909090909091,70.0
R Vinay Kumar,2014,4,7,2,0,0,2,2,57.14285714285714,2.0
R Vinay Kumar,2015,0,2,1,0,0,0,1,0.0,0.0
R Vinay Kumar,2016,13,12,5,0,1,5,1,108.33333333333333,13.0
R Vinay Kumar,2018,6,4,0,1,0,2,0,150.0,inf
RA Bawa,2022,11,14,7,1,0,5,2,78.57142857142857,5.5
RA Bawa,2025,8,4,0,0,0,1,0,200.0,inf
RA Bawa,2026,16,14,6,1,0,2,1,114.28571428571428,16.0
RA Jadeja,2007/08,135,108,34,11,6,36,7,125.0,19.285714285714285
RA Jadeja,2009,295,276,89,21,6,121,12,106.8840579710145,24.583333333333332
RA Jadeja,2011,283,234,84,20,14,97,9,120.94017094017093,31.444444444444443
RA Jadeja,2012,191,153,49,13,9,65,12,124.83660130718954,15.916666666666666
RA Jadeja,2013,201,139,34,17,6,57,9,144.6043165467626,22.333333333333332
RA Jadeja,2014,146,113,25,9,5,56,5,129.20353982300884,29.2
RA Jadeja,2015,132,128,40,7,3,63,8,103.125,16.5
RA Jadeja,2016,191,189,62,14,4,78,10,101.05820105820106,19.1
RA Jadeja,2017,158,118,28,13,4,52,4,133.89830508474577,39.5
RA Jadeja,2018,89,80,21,3,4,35,5,111.25,17.8
RA Jadeja,2019,106,94,31,7,4,32,2,112.7659574468085,53.0
RA Jadeja,2020/21,232,142,34,22,11,52,5,163.38028169014086,46.4
RA Jadeja,2021,227,170,42,19,9,67,4,133.52941176470588,56.75
RA Jadeja,2022,116,105,30,6,5,46,8,110.47619047619048,14.5
RA Jadeja,2023,190,138,29,11,9,66,8,137.68115942028984,23.75
RA Jadeja,2024,267,191,43,22,8,90,6,139.79057591623035,44.5
RA Jadeja,2025,301,229,62,25,10,105,9,131.4410480349345,33.44444444444444
RA Jadeja,2026,266,209,52,24,5,82,4,127.27272727272727,66.5
RA Tripathi,2017,391,275,99,43,17,88,12,142.1818181818182,32.583333333333336
RA Tripathi,2018,226,173,54,18,8,68,9,130.635838150289,25.11111111111111
RA Tripathi,2019,141,122,37,13,2,54,6,115.57377049180329,23.5
RA Tripathi,2020/21,230,186,71,21,10,62,10,123.65591397849462,23.0
RA Tripathi,2021,397,285,86,41,11,114,15,139.29824561403507,26.466666666666665
RA Tripathi,2022,413,271,83,40,20,100,12,152.39852398523985,34.416666666666664
RA Tripathi,2023,273,217,83,29,10,78,12,125.80645161290323,22.75
RA Tripathi,2024,165,121,36,18,6,43,5,136.36363636363635,33.0
RA Tripathi,2025,55,57,26,6,1,21,5,96.49122807017544,11.0
RD Chahar,2017,3,2,0,0,0,1,0,150.0,inf
RD Chahar,2019,12,11,6,2,0,2,2,109.09090909090908,6.0
RD Chahar,2020/21,2,4,2,0,0,2,0,50.0,inf
RD Chahar,2021,14,15,7,1,0,4,4,93.33333333333333,3.5
RD Chahar,2022,77,70,35,7,4,19,7,110.00000000000001,11.0
RD Chahar,2023,0,10,9,0,0,0,2,0.0,0.0
RD Chahar,2024,21,15,8,3,1,3,1,140.0,21.0
RD Gaikwad,2020/21,204,173,56,16,6,77,3,117.91907514450868,68.0
RD Gaikwad,2021,635,474,163,64,23,183,15,133.9662447257384,42.333333333333336
RD Gaikwad,2022,368,298,105,33,14,119,14,123.48993288590604,26.285714285714285
RD Gaikwad,2023,590,411,128,46,30,156,13,143.5523114355231,45.38461538461539
RD Gaikwad,2024,583,425,126,58,18,175,11,137.1764705882353,53.0
RD Gaikwad,2025,122,82,30,14,4,25,5,148.78048780487805,24.4
RD Gaikwad,2026,337,291,101,29,12,109,12,115.80756013745706,28.083333333333332
RD Rickelton,2025,388,266,103,47,17,74,13,145.86466165413535,29.846153846153847
RD Rickelton,2026,448,247,82,31,38,78,11,181.3765182186235,40.72727272727273
RE Levi,2012,83,74,36,10,4,19,6,112.16216216216218,13.833333333333334
RE van der Merwe,2009,122,101,45,8,8,32,8,120.79207920792079,15.25
RE van der Merwe,2009/10,1,2,1,0,0,1,1,50.0,1.0
RE van der Merwe,2011,14,16,5,1,0,10,1,87.5,14.0
RE van der Merwe,2013,22,25,10,2,0,10,2,88.0,11.0
RG More,2015,2,2,0,0,0,2,0,100.0,inf
RG Sharma,2007/08,404,276,90,38,19,101,11,146.3768115942029,36.72727272727273
RG Sharma,2009,362,323,117,22,18,136,13,112.07430340557276,27.846153846153847
RG Sharma,2009/10,404,310,95,36,14,128,18,130.32258064516128,22.444444444444443
RG Sharma,2011,372,304,101,32,13,133,10,122.36842105263158,37.2
RG Sharma,2012,433,350,125,39,18,139,14,123.71428571428571,30.928571428571427
RG Sharma,2013,538,415,132,35,28,192,14,129.63855421686748,38.42857142857143
RG Sharma,2014,390,307,104,31,16,128,14,127.0358306188925,27.857142857142858
RG Sharma,2015,482,339,100,41,21,146,15,142.18289085545723,32.13333333333333
RG Sharma,2016,489,372,127,49,17,158,12,131.4516129032258,40.75
RG Sharma,2017,333,278,95,31,9,118,14,119.78417266187051,23.785714285714285
RG Sharma,2018,286,223,78,25,12,82,13,128.25112107623318,22.0
RG Sharma,2019,405,319,127,52,10,115,14,126.95924764890283,28.928571428571427
RG Sharma,2020/21,334,275,112,27,19,89,15,121.45454545454545,22.266666666666666
RG Sharma,2021,381,307,108,33,14,117,12,124.10423452768731,31.75
RG Sharma,2022,268,234,112,28,13,55,14,114.52991452991452,19.142857142857142
RG Sharma,2023,332,258,110,35,17,80,16,128.68217054263567,20.75
RG Sharma,2024,417,293,119,45,23,79,13,142.320819112628,32.07692307692308
RG Sharma,2025,418,292,104,41,22,100,14,143.15068493150685,29.857142857142858
RG Sharma,2026,283,184,66,21,21,62,9,153.80434782608697,31.444444444444443
RJ Gleeson,2024,2,2,0,0,0,0,0,100.0,inf
RJ Harris,2009,21,18,5,0,0,4,1,116.66666666666667,21.0
RJ Harris,2009/10,45,39,15,2,2,15,4,115.38461538461537,11.25
RJ Harris,2011,31,39,19,3,0,15,5,79.48717948717949,6.2
RJ Harris,2012,18,11,3,1,1,4,1,163.63636363636365,18.0
RJ Harris,2013,2,5,3,0,0,2,1,40.0,2.0
RJ Peterson,2012,32,32,11,3,1,12,3,100.0,10.666666666666666
RJ Quiney,2009,103,105,49,12,3,30,7,98.09523809523809,14.714285714285714
